REF_DATE,Credit cards,"Lines of credit, of which: excluding home equity lines of credit",Residential mortgages,Total credit liabilities of households,Bank rate,CPI_All_Items
2023-01,90358000000,67406000000,2116977000000,2851328000000,4.5,156.8
2023-02,91538000000,67995000000,2119260000000,2855309000000,4.75,157.4
2023-03,91803000000,67881000000,2124467000000,2858665000000,4.75,158.5
2023-04,94455000000,68101000000,2131034000000,2870575000000,4.75,158.9
2023-05,96901000000,68723000000,2140402000000,2887335000000,4.75,159.8
2023-06,97850000000,69201000000,2152879000000,2901804000000,5.0,159.7
2023-07,99100000000,69420000000,2162663000000,2913380000000,5.25,161.1
2023-08,99971000000,69786000000,2173710000000,2927182000000,5.25,161.4
2023-09,101163000000,70165000000,2179918000000,2936257000000,5.25,161.3
2023-10,101287000000,70317000000,2186235000000,2943822000000,5.25,162.2
2023-11,104889000000,70463000000,2193147000000,2955223000000,5.25,162.3
2023-12,105179000000,70795000000,2196576000000,2960057000000,5.25,162.4
2024-01,101894000000,71065000000,2196133000000,2956447000000,5.25,162.0
2024-02,102762000000,71766000000,2199333000000,2962996000000,5.25,162.2
2024-03,103716000000,71629000000,2203610000000,2964843000000,5.25,163.4
2024-04,105390000000,72192000000,2209626000000,2978205000000,5.25,164.0
2024-05,106918000000,72047000000,2221341000000,2992433000000,5.25,165.3
2024-06,108359000000,72611000000,2233221000000,3009434000000,5.0,165.1
2024-07,108382000000,73224000000,2243964000000,3023564000000,4.75,166.1
2024-08,109536000000,73532000000,2254808000000,3038234000000,4.75,165.7
2024-09,110872000000,73942000000,2263791000000,3052676000000,4.5,165.2
2024-10,109976000000,74108000000,2273045000000,3064570000000,4.0,165.9
2024-11,112185000000,74003000000,2284608000000,3079671000000,4.0,166.0
2024-12,113356000000,74562000000,2291470000000,3091729000000,3.5,165.4
2025-01,108672000000,74268000000,2295993000000,3087448000000,3.5,165.0
2025-02,109001000000,74662000000,2301687000000,3093851000000,3.25,166.8
2025-03,110244000000,74863000000,2306938000000,3100986000000,3.0,167.0
2025-04,110995000000,75431000000,2316642000000,3114493000000,3.0,166.8
2025-05,112098000000,75128000000,2328976000000,3128372000000,3.0,168.1
2025-06,114489000000,75755000000,2342926000000,3149007000000,3.0,168.1
2025-07,113202000000,76057000000,2351740000000,3159142000000,3.0,168.6
2025-08,114582000000,76245000000,2364768000000,3176626000000,3.0,168.1
2025-09,116427000000,76771000000,2374615000000,3194098000000,2.75,168.1
2025-10,113969000000,76750000000,2386126000000,3204295000000,2.75,168.4
2025-11,116287000000,76728000000,2394844000000,3216698000000,2.5,168.6
2025-12,118241000000,77153000000,2400565000000,3225674000000,2.5,168.4
2026-01,113913000000,76807000000,2403959000000,3224289000000,2.5,167.7
2026-02,114402000000,76967000000,2407906000000,3232525000000,2.5,168.4
2026-03,114867000000,77077000000,2411478000000,3238723000000,2.5,169.7
2026-04,116555000000,77371000000,2418996000000,3250223000000,2.5,170.0
