REF_DATE,GEO,Age group,Mortgage debt,Net worth (total assets less total debt),Non-mortgage debt,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",Tax Free Saving Accounts (TFSA)
2023,Canada,35 to 44 years,247000.0,409300.0,25000.0,33000.0,12000.0
2023,Canada,45 to 54 years,210500.0,675800.0,27000.0,72600.0,15000.0
2023,Canada,55 to 64 years,179000.0,873400.0,22000.0,120000.0,39100.0
2023,Canada,65 years and older,111000.0,738900.0,11100.0,102200.0,52100.0
2023,Canada,Under 35 years,232600.0,159100.0,25000.0,15000.0,10000.0
2023,"Toronto, Ontario",35 to 44 years,486000.0,587100.0,25000.0,40000.0,14000.0
2023,"Toronto, Ontario",45 to 54 years,400000.0,912300.0,28000.0,90000.0,21000.0
2023,"Toronto, Ontario",55 to 64 years,320000.0,1175000.0,30000.0,150000.0,45000.0
2023,"Toronto, Ontario",65 years and older,198000.0,1183500.0,9000.0,179000.0,65000.0
2023,"Toronto, Ontario",Under 35 years,500000.0,237400.0,27500.0,22000.0,15000.0
