"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","156.8","","","","1"
"2023-02","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","157.4","","","","1"
"2023-03","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","158.5","","","","1"
"2023-04","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","158.9","","","","1"
"2023-05","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","159.8","","","","1"
"2023-06","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","159.7","","","","1"
"2023-07","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","161.1","","","","1"
"2023-08","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","161.4","","","","1"
"2023-09","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","161.3","","","","1"
"2023-10","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","162.2","","","","1"
"2023-11","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","162.3","","","","1"
"2023-12","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","162.4","","","","1"
"2024-01","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","162.0","","","","1"
"2024-02","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","162.2","","","","1"
"2024-03","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","163.4","","","","1"
"2024-04","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","164.0","","","","1"
"2024-05","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","165.3","","","","1"
"2024-06","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","165.1","","","","1"
"2024-07","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","166.1","","","","1"
"2024-08","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","165.7","","","","1"
"2024-09","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","165.2","","","","1"
"2024-10","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","165.9","","","","1"
"2024-11","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","166.0","","","","1"
"2024-12","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","165.4","","","","1"
"2025-01","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","165.0","","","","1"
"2025-02","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","166.8","","","","1"
"2025-03","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","167.0","","","","1"
"2025-04","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","166.8","","","","1"
"2025-05","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","168.1","","","","1"
"2025-06","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","168.1","","","","1"
"2025-07","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","168.6","","","","1"
"2025-08","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","168.1","","","","1"
"2025-09","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","168.1","","","","1"
"2025-10","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","168.4","","","","1"
"2025-11","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","168.6","","","","1"
"2025-12","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","168.4","","","","1"
"2026-01","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","167.7","","","","1"
"2026-02","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","168.4","","","","1"
"2026-03","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","169.7","","","","1"
"2026-04","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","170.0","","","","1"
"2026-05","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41692888","16.2","171.7","","","","1"


